,continent,country,year,age,suicides_no,population,gdp_per_capita ($),s_rate
863,Oceania,Australia,2011,15-24 years,335,3065122,66770,10.93
864,Oceania,Australia,2011,25-34 years,432,3194331,66770,13.52
865,Oceania,Australia,2011,35-54 years,934,6197054,66770,15.07
866,Oceania,Australia,2011,5-14 years,16,2775499,66770,0.58
867,Oceania,Australia,2011,55-74 years,484,4243924,66770,11.4
868,Oceania,Australia,2011,75+ years,191,1405980,66770,13.58
869,Oceania,Australia,2012,15-24 years,326,3083606,72669,10.57
870,Oceania,Australia,2012,25-34 years,449,3287715,72669,13.66
871,Oceania,Australia,2012,35-54 years,1060,6248283,72669,16.96
872,Oceania,Australia,2012,5-14 years,16,2811182,72669,0.57
873,Oceania,Australia,2012,55-74 years,519,4369159,72669,11.88
874,Oceania,Australia,2012,75+ years,210,1438964,72669,14.59
875,Oceania,Australia,2013,15-24 years,362,3104318,72856,11.66
876,Oceania,Australia,2013,25-34 years,424,3379049,72856,12.55
877,Oceania,Australia,2013,35-54 years,1029,6290306,72856,16.36
878,Oceania,Australia,2013,5-14 years,22,2853685,72856,0.77
879,Oceania,Australia,2013,55-74 years,563,4497970,72856,12.52
880,Oceania,Australia,2013,75+ years,208,1474852,72856,14.1
881,Oceania,Australia,2014,15-24 years,367,3125890,66809,11.74
882,Oceania,Australia,2014,25-34 years,523,3447771,66809,15.17
883,Oceania,Australia,2014,35-54 years,1143,6319816,66809,18.09
884,Oceania,Australia,2014,5-14 years,21,2894512,66809,0.73
885,Oceania,Australia,2014,55-74 years,628,4623758,66809,13.58
886,Oceania,Australia,2014,75+ years,209,1515840,66809,13.79
887,Oceania,Australia,2015,15-24 years,391,3135295,60656,12.47
888,Oceania,Australia,2015,25-34 years,542,3509980,60656,15.44
889,Oceania,Australia,2015,35-54 years,1238,6352942,60656,19.49
890,Oceania,Australia,2015,5-14 years,14,2935661,60656,0.48
891,Oceania,Australia,2015,55-74 years,609,4748773,60656,12.82
892,Oceania,Australia,2015,75+ years,233,1558134,60656,14.95
893,Europe,Austria,1985,15-24 years,257,1287320,9759,19.96
894,Europe,Austria,1985,25-34 years,288,1093548,9759,26.34
895,Europe,Austria,1985,35-54 years,701,1877325,9759,37.34
896,Europe,Austria,1985,5-14 years,8,928933,9759,0.86
897,Europe,Austria,1985,55-74 years,575,1427231,9759,40.29
898,Europe,Austria,1985,75+ years,262,495758,9759,52.85
899,Europe,Austria,1986,15-24 years,259,1271143,13911,20.38
900,Europe,Austria,1986,25-34 years,352,1122665,13911,31.35
901,Europe,Austria,1986,35-54 years,689,1885593,13911,36.54
902,Europe,Austria,1986,5-14 years,6,912169,13911,0.66
903,Europe,Austria,1986,55-74 years,550,1423454,13911,38.64
904,Europe,Austria,1986,75+ years,283,504125,13911,56.14
905,Europe,Austria,1987,15-24 years,234,1244626,17415,18.8
906,Europe,Austria,1987,25-34 years,309,1154917,17415,26.76
907,Europe,Austria,1987,35-54 years,626,1896943,17415,33.0
908,Europe,Austria,1987,5-14 years,4,901824,17415,0.44
909,Europe,Austria,1987,55-74 years,562,1417984,17415,39.63
910,Europe,Austria,1987,75+ years,334,513712,17415,65.02
911,Europe,Austria,1988,15-24 years,196,1211473,18663,16.18
912,Europe,Austria,1988,25-34 years,290,1188739,18663,24.4
913,Europe,Austria,1988,35-54 years,575,1912931,18663,30.06
914,Europe,Austria,1988,5-14 years,4,897050,18663,0.45
915,Europe,Austria,1988,55-74 years,495,1410644,18663,35.09
916,Europe,Austria,1988,75+ years,291,523573,18663,55.58
917,Europe,Austria,1989,15-24 years,211,1182013,18544,17.85
918,Europe,Austria,1989,25-34 years,283,1229529,18544,23.02
919,Europe,Austria,1989,35-54 years,558,1936444,18544,28.82
920,Europe,Austria,1989,5-14 years,6,896423,18544,0.67
921,Europe,Austria,1989,55-74 years,540,1402235,18544,38.51
922,Europe,Austria,1989,75+ years,300,531022,18544,56.49
923,Europe,Austria,1990,15-24 years,181,1157733,23020,15.63
924,Europe,Austria,1990,25-34 years,262,1273824,23020,20.57
925,Europe,Austria,1990,35-54 years,568,1970061,23020,28.83
926,Europe,Austria,1990,5-14 years,3,898998,23020,0.33
927,Europe,Austria,1990,55-74 years,493,1400304,23020,35.21
928,Europe,Austria,1990,75+ years,318,530433,23020,59.95
929,Europe,Austria,1991,15-24 years,187,1133209,23808,16.5
930,Europe,Austria,1991,25-34 years,246,1315459,23808,18.7
931,Europe,Austria,1991,35-54 years,547,2014754,23808,27.15
932,Europe,Austria,1991,5-14 years,2,907595,23808,0.22
933,Europe,Austria,1991,55-74 years,480,1409889,23808,34.05
934,Europe,Austria,1991,75+ years,307,518822,23808,59.17
935,Europe,Austria,1992,15-24 years,175,1106796,26450,15.81
936,Europe,Austria,1992,25-34 years,254,1351968,26450,18.79
937,Europe,Austria,1992,35-54 years,568,2066311,26450,27.49
938,Europe,Austria,1992,5-14 years,6,921770,26450,0.65
939,Europe,Austria,1992,55-74 years,479,1425806,26450,33.6
940,Europe,Austria,1992,75+ years,277,502717,26450,55.1
941,Europe,Austria,1993,15-24 years,154,1074186,25611,14.34
942,Europe,Austria,1993,25-34 years,282,1379799,25611,20.44
943,Europe,Austria,1993,35-54 years,517,2113064,25611,24.47
944,Europe,Austria,1993,5-14 years,10,934063,25611,1.07
945,Europe,Austria,1993,55-74 years,453,1445301,25611,31.34
946,Europe,Austria,1993,75+ years,288,487156,25611,59.12
947,Europe,Austria,1994,15-24 years,170,1036137,27274,16.41
948,Europe,Austria,1994,25-34 years,265,1391653,27274,19.04
949,Europe,Austria,1994,35-54 years,583,2135844,27274,27.3
950,Europe,Austria,1994,5-14 years,11,941387,27274,1.17
951,Europe,Austria,1994,55-74 years,480,1476675,27274,32.51
952,Europe,Austria,1994,75+ years,267,480856,27274,55.53
953,Europe,Austria,1995,15-24 years,153,1004630,32237,15.23
954,Europe,Austria,1995,25-34 years,296,1385730,32237,21.36
955,Europe,Austria,1995,35-54 years,573,2139958,32237,26.78
956,Europe,Austria,1995,5-14 years,8,944589,32237,0.85
957,Europe,Austria,1995,55-74 years,474,1513763,32237,31.31
958,Europe,Austria,1995,75+ years,284,488360,32237,58.15
959,Europe,Austria,1996,15-24 years,120,983202,31660,12.21
960,Europe,Austria,1996,25-34 years,256,1369210,31660,18.7
961,Europe,Austria,1996,35-54 years,592,2151727,31660,27.51
962,Europe,Austria,1996,5-14 years,4,945510,31660,0.42
963,Europe,Austria,1996,55-74 years,507,1540852,31660,32.9
964,Europe,Austria,1996,75+ years,300,503205,31660,59.62
965,Europe,Austria,1997,15-24 years,144,967935,28325,14.88
966,Europe,Austria,1997,25-34 years,249,1345535,28325,18.51
967,Europe,Austria,1997,35-54 years,510,2179827,28325,23.4
968,Europe,Austria,1997,5-14 years,3,945011,28325,0.32
969,Europe,Austria,1997,55-74 years,444,1554282,28325,28.57
970,Europe,Austria,1997,75+ years,242,519999,28325,46.54
971,Europe,Austria,1998,15-24 years,123,959123,28972,12.82
972,Europe,Austria,1998,25-34 years,211,1313204,28972,16.07
973,Europe,Austria,1998,35-54 years,523,2218141,28972,23.58
974,Europe,Austria,1998,5-14 years,8,945182,28972,0.85
975,Europe,Austria,1998,55-74 years,450,1561063,28972,28.83
976,Europe,Austria,1998,75+ years,244,536806,28972,45.45
977,Europe,Austria,1999,15-24 years,124,955553,28722,12.98
978,Europe,Austria,1999,25-34 years,198,1276944,28722,15.51
979,Europe,Austria,1999,35-54 years,522,2259525,28722,23.1
980,Europe,Austria,1999,5-14 years,3,946661,28722,0.32
981,Europe,Austria,1999,55-74 years,451,1570445,28722,28.72
982,Europe,Austria,1999,75+ years,257,552481,28722,46.52
983,Europe,Austria,2000,15-24 years,133,954735,25922,13.93
984,Europe,Austria,2000,25-34 years,183,1240456,25922,14.75
985,Europe,Austria,2000,35-54 years,515,2312534,25922,22.27
986,Europe,Austria,2000,5-14 years,8,945973,25922,0.85
987,Europe,Austria,2000,55-74 years,485,1570672,25922,30.88
988,Europe,Austria,2000,75+ years,264,567703,25922,46.5
989,Europe,Austria,2001,15-24 years,119,958934,25848,12.41
990,Europe,Austria,2001,25-34 years,183,1204604,25848,15.19
991,Europe,Austria,2001,35-54 years,503,2370681,25848,21.22
992,Europe,Austria,2001,5-14 years,2,944745,25848,0.21
993,Europe,Austria,2001,55-74 years,438,1571132,25848,27.88
994,Europe,Austria,2001,75+ years,244,584464,25848,41.75
995,Europe,Austria,2002,15-24 years,116,969217,27772,11.97
996,Europe,Austria,2002,25-34 years,188,1170648,27772,16.06
997,Europe,Austria,2002,35-54 years,551,2412519,27772,22.84
998,Europe,Austria,2002,5-14 years,4,944009,27772,0.42
999,Europe,Austria,2002,55-74 years,427,1588838,27772,26.87
1000,Europe,Austria,2002,75+ years,267,597931,27772,44.65
1001,Europe,Austria,2003,15-24 years,120,984804,33889,12.19
1002,Europe,Austria,2003,25-34 years,150,1137099,33889,13.19
1003,Europe,Austria,2003,35-54 years,512,2445111,33889,20.94
1004,Europe,Austria,2003,5-14 years,3,937844,33889,0.32
1005,Europe,Austria,2003,55-74 years,410,1610710,33889,25.45
1006,Europe,Austria,2003,75+ years,261,606465,33889,43.04
1007,Europe,Austria,2004,15-24 years,132,1000823,38711,13.19
1008,Europe,Austria,2004,25-34 years,146,1110460,38711,13.15
1009,Europe,Austria,2004,35-54 years,454,2480582,38711,18.3
1010,Europe,Austria,2004,5-14 years,2,929911,38711,0.22
1011,Europe,Austria,2004,55-74 years,426,1632760,38711,26.09
1012,Europe,Austria,2004,75+ years,262,618569,38711,42.36
1013,Europe,Austria,2005,15-24 years,101,1013362,40367,9.97
1014,Europe,Austria,2005,25-34 years,135,1095181,40367,12.33
1015,Europe,Austria,2005,35-54 years,485,2516492,40367,19.27
1016,Europe,Austria,2005,5-14 years,4,919976,40367,0.43
1017,Europe,Austria,2005,55-74 years,427,1651115,40367,25.86
1018,Europe,Austria,2005,75+ years,247,631335,40367,39.12
1019,Europe,Austria,2006,15-24 years,93,1016934,42698,9.15
1020,Europe,Austria,2006,25-34 years,121,1087478,42698,11.13
1021,Europe,Austria,2006,35-54 years,473,2547124,42698,18.57
1022,Europe,Austria,2006,5-14 years,1,905477,42698,0.11
1023,Europe,Austria,2006,55-74 years,357,1668341,42698,21.4
1024,Europe,Austria,2006,75+ years,252,643915,42698,39.14
1025,Europe,Austria,2007,15-24 years,108,1017621,49218,10.61
1026,Europe,Austria,2007,25-34 years,124,1082523,49218,11.45
1027,Europe,Austria,2007,35-54 years,419,2568739,49218,16.31
1028,Europe,Austria,2007,5-14 years,2,888462,49218,0.23
1029,Europe,Austria,2007,55-74 years,382,1685721,49218,22.66
1030,Europe,Austria,2007,75+ years,250,654206,49218,38.21
1031,Europe,Austria,2008,15-24 years,77,1019900,54294,7.55
1032,Europe,Austria,2008,25-34 years,104,1082241,54294,9.61
1033,Europe,Austria,2008,35-54 years,452,2581153,54294,17.51
1034,Europe,Austria,2008,5-14 years,4,872927,54294,0.46
1035,Europe,Austria,2008,55-74 years,358,1707420,54294,20.97
1036,Europe,Austria,2008,75+ years,272,661617,54294,41.11
1037,Europe,Austria,2009,15-24 years,83,1021126,50356,8.13
1038,Europe,Austria,2009,25-34 years,117,1082103,50356,10.81
1039,Europe,Austria,2009,35-54 years,433,2587138,50356,16.74
1040,Europe,Austria,2009,5-14 years,8,858039,50356,0.93
1041,Europe,Austria,2009,55-74 years,382,1731940,50356,22.06
1042,Europe,Austria,2009,75+ years,255,666548,50356,38.26
1043,Europe,Austria,2010,15-24 years,105,1018295,49181,10.31
1044,Europe,Austria,2010,25-34 years,110,1082285,49181,10.16
1045,Europe,Austria,2010,35-54 years,427,2588007,49181,16.5
1046,Europe,Austria,2010,5-14 years,3,846633,49181,0.35
1047,Europe,Austria,2010,55-74 years,377,1761619,49181,21.4
1048,Europe,Austria,2010,75+ years,242,671582,49181,36.03
1049,Europe,Austria,2011,15-24 years,90,1016267,53923,8.86
1050,Europe,Austria,2011,25-34 years,120,1088058,53923,11.03
1051,Europe,Austria,2011,35-54 years,431,2580707,53923,16.7
1052,Europe,Austria,2011,5-14 years,4,835768,53923,0.48
1053,Europe,Austria,2011,55-74 years,389,1798011,53923,21.64
1054,Europe,Austria,2011,75+ years,254,676335,53923,37.56
1055,Europe,Austria,2012,15-24 years,72,1017341,50979,7.08
1056,Europe,Austria,2012,25-34 years,119,1100834,50979,10.81
1057,Europe,Austria,2012,35-54 years,419,2570291,50979,16.3
1058,Europe,Austria,2012,5-14 years,4,825579,50979,0.48
1059,Europe,Austria,2012,55-74 years,397,1836763,50979,21.61
1060,Europe,Austria,2012,75+ years,265,680468,50979,38.94
1061,Europe,Austria,2013,15-24 years,74,1015378,53229,7.29
1062,Europe,Austria,2013,25-34 years,100,1120105,53229,8.93
1063,Europe,Austria,2013,35-54 years,411,2561489,53229,16.05
1064,Europe,Austria,2013,5-14 years,4,820598,53229,0.49
1065,Europe,Austria,2013,55-74 years,417,1875431,53229,22.23
1066,Europe,Austria,2013,75+ years,285,686614,53229,41.51
1067,Europe,Austria,2014,15-24 years,96,1010185,54278,9.5
1068,Europe,Austria,2014,25-34 years,129,1142748,54278,11.29
1069,Europe,Austria,2014,35-54 years,414,2556251,54278,16.2
1070,Europe,Austria,2014,5-14 years,2,819054,54278,0.24
1071,Europe,Austria,2014,55-74 years,390,1900830,54278,20.52
1072,Europe,Austria,2014,75+ years,283,712097,54278,39.74
1073,Europe,Austria,2015,15-24 years,80,1010388,46484,7.92
1074,Europe,Austria,2015,25-34 years,99,1167629,46484,8.48
1075,Europe,Austria,2015,35-54 years,392,2552856,46484,15.36
1076,Europe,Austria,2015,5-14 years,2,822539,46484,0.24
1077,Europe,Austria,2015,55-74 years,394,1913969,46484,20.59
1078,Europe,Austria,2015,75+ years,284,752005,46484,37.77
1079,Europe,Austria,2016,15-24 years,80,1013997,46976,7.89
1080,Europe,Austria,2016,25-34 years,104,1191835,46976,8.73
1081,Europe,Austria,2016,35-54 years,355,2554443,46976,13.9
1082,Europe,Austria,2016,55-74 years,389,1938395,46976,20.07
1083,Europe,Austria,2016,75+ years,273,785959,46976,34.73
1084,Europe,Azerbaijan,1990,15-24 years,20,1339500,1439,1.49
1085,Europe,Azerbaijan,1990,25-34 years,26,1291000,1439,2.01
1086,Europe,Azerbaijan,1990,35-54 years,47,1225000,1439,3.84
1087,Europe,Azerbaijan,1990,5-14 years,1,1463800,1439,0.07
1088,Europe,Azerbaijan,1990,55-74 years,17,695400,1439,2.44
1089,Europe,Azerbaijan,1990,75+ years,3,142100,1439,2.11
1090,Europe,Azerbaijan,1991,15-24 years,30,1340200,1398,2.24
1091,Europe,Azerbaijan,1991,25-34 years,35,1325300,1398,2.64
1092,Europe,Azerbaijan,1991,35-54 years,37,1247800,1398,2.97
1093,Europe,Azerbaijan,1991,5-14 years,1,1505700,1398,0.07
1094,Europe,Azerbaijan,1991,55-74 years,27,730100,1398,3.7
1095,Europe,Azerbaijan,1991,75+ years,4,141500,1398,2.83
1096,Europe,Azerbaijan,1992,15-24 years,31,1326300,784,2.34
1097,Europe,Azerbaijan,1992,25-34 years,34,1337200,784,2.54
1098,Europe,Azerbaijan,1992,35-54 years,43,1273300,784,3.38
1099,Europe,Azerbaijan,1992,5-14 years,0,1531100,784,0.0
1100,Europe,Azerbaijan,1992,55-74 years,29,765000,784,3.79
1101,Europe,Azerbaijan,1992,75+ years,7,137500,784,5.09
1102,Europe,Azerbaijan,1993,15-24 years,28,1307600,617,2.14
1103,Europe,Azerbaijan,1993,25-34 years,29,1333000,617,2.18
1104,Europe,Azerbaijan,1993,35-54 years,30,1310000,617,2.29
1105,Europe,Azerbaijan,1993,5-14 years,2,1557200,617,0.13
1106,Europe,Azerbaijan,1993,55-74 years,23,799800,617,2.88
1107,Europe,Azerbaijan,1993,75+ years,7,135000,617,5.19
1108,Europe,Azerbaijan,1994,15-24 years,6,1291300,508,0.46
1109,Europe,Azerbaijan,1994,25-34 years,7,1325500,508,0.53
1110,Europe,Azerbaijan,1994,35-54 years,17,1356800,508,1.25
1111,Europe,Azerbaijan,1994,5-14 years,0,1589200,508,0.0
1112,Europe,Azerbaijan,1994,55-74 years,15,825200,508,1.82
1113,Europe,Azerbaijan,1994,75+ years,2,133200,508,1.5
1114,Europe,Azerbaijan,1995,15-24 years,9,1285900,462,0.7
1115,Europe,Azerbaijan,1995,25-34 years,8,1318000,462,0.61
1116,Europe,Azerbaijan,1995,35-54 years,21,1411500,462,1.49
1117,Europe,Azerbaijan,1995,5-14 years,0,1618000,462,0.0
1118,Europe,Azerbaijan,1995,55-74 years,8,840900,462,0.95
1119,Europe,Azerbaijan,1995,75+ years,3,131600,462,2.28
1120,Europe,Azerbaijan,1996,15-24 years,12,1289600,476,0.93
1121,Europe,Azerbaijan,1996,25-34 years,15,1316600,476,1.14
1122,Europe,Azerbaijan,1996,35-54 years,17,1445100,476,1.18
1123,Europe,Azerbaijan,1996,5-14 years,0,1634600,476,0.0
1124,Europe,Azerbaijan,1996,55-74 years,21,850700,476,2.47
1125,Europe,Azerbaijan,1996,75+ years,4,131500,476,3.04
1126,Europe,Azerbaijan,1997,15-24 years,13,1298000,590,1.0
1127,Europe,Azerbaijan,1997,25-34 years,25,1324900,590,1.89
1128,Europe,Azerbaijan,1997,35-54 years,42,1454300,590,2.89
1129,Europe,Azerbaijan,1997,5-14 years,0,1645200,590,0.0
1130,Europe,Azerbaijan,1997,55-74 years,27,856300,590,3.15
1131,Europe,Azerbaijan,1997,75+ years,0,132500,590,0.0
1132,Europe,Azerbaijan,1998,15-24 years,5,1365000,631,0.37
1133,Europe,Azerbaijan,1998,25-34 years,12,1393600,631,0.86
1134,Europe,Azerbaijan,1998,35-54 years,24,1526100,631,1.57
1135,Europe,Azerbaijan,1998,5-14 years,1,1731000,631,0.06
1136,Europe,Azerbaijan,1998,55-74 years,12,895100,631,1.34
1137,Europe,Azerbaijan,1998,75+ years,2,133600,631,1.5
1138,Europe,Azerbaijan,1999,15-24 years,8,1377000,645,0.58
1139,Europe,Azerbaijan,1999,25-34 years,12,1405900,645,0.85
1140,Europe,Azerbaijan,1999,35-54 years,23,1539500,645,1.49
1141,Europe,Azerbaijan,1999,5-14 years,0,1746000,645,0.0
1142,Europe,Azerbaijan,1999,55-74 years,11,903200,645,1.22
1143,Europe,Azerbaijan,1999,75+ years,0,134800,645,0.0
1144,Europe,Azerbaijan,2000,15-24 years,15,1475450,711,1.02
1145,Europe,Azerbaijan,2000,25-34 years,14,1284850,711,1.09
1146,Europe,Azerbaijan,2000,35-54 years,17,1931250,711,0.88
1147,Europe,Azerbaijan,2000,5-14 years,1,1807000,711,0.06
1148,Europe,Azerbaijan,2000,55-74 years,12,795450,711,1.51
1149,Europe,Azerbaijan,2000,75+ years,3,121250,711,2.47
1150,Europe,Azerbaijan,2001,15-24 years,64,1525750,759,4.19
1151,Europe,Azerbaijan,2001,25-34 years,63,1273000,759,4.95
1152,Europe,Azerbaijan,2001,35-54 years,95,2027800,759,4.68
1153,Europe,Azerbaijan,2001,5-14 years,31,1775250,759,1.75
1154,Europe,Azerbaijan,2001,55-74 years,55,788650,759,6.97
1155,Europe,Azerbaijan,2001,75+ years,9,127550,759,7.06
1156,Europe,Azerbaijan,2002,15-24 years,10,1576900,820,0.63
1157,Europe,Azerbaijan,2002,25-34 years,10,1269600,820,0.79
1158,Europe,Azerbaijan,2002,35-54 years,40,2108200,820,1.9
1159,Europe,Azerbaijan,2002,5-14 years,4,1725800,820,0.23
1160,Europe,Azerbaijan,2002,55-74 years,25,790600,820,3.16
1161,Europe,Azerbaijan,2002,75+ years,3,134600,820,2.23
1162,Europe,Azerbaijan,2003,15-24 years,26,1626250,948,1.6
1163,Europe,Azerbaijan,2003,25-34 years,15,1267750,948,1.18
1164,Europe,Azerbaijan,2003,35-54 years,52,2182300,948,2.38
1165,Europe,Azerbaijan,2003,5-14 years,8,1657000,948,0.48
1166,Europe,Azerbaijan,2003,55-74 years,21,795750,948,2.64
1167,Europe,Azerbaijan,2003,75+ years,7,145350,948,4.82
1168,Europe,Azerbaijan,2004,15-24 years,14,1674350,1122,0.84
1169,Europe,Azerbaijan,2004,25-34 years,19,1270900,1122,1.5
1170,Europe,Azerbaijan,2004,35-54 years,51,2252900,1122,2.26
1171,Europe,Azerbaijan,2004,5-14 years,7,1581650,1122,0.44
1172,Europe,Azerbaijan,2004,55-74 years,12,801950,1122,1.5
1173,Europe,Azerbaijan,2004,75+ years,5,156500,1122,3.19
1174,Europe,Azerbaijan,2007,15-24 years,8,1785250,4172,0.45
1175,Europe,Azerbaijan,2007,25-34 years,10,1328500,4172,0.75
1176,Europe,Azerbaijan,2007,35-54 years,20,2414500,4172,0.83
1177,Europe,Azerbaijan,2007,5-14 years,4,1355200,4172,0.3
1178,Europe,Azerbaijan,2007,55-74 years,9,844100,4172,1.07
1179,Europe,Azerbaijan,2007,75+ years,4,193550,4172,2.07
1180,N. america,Bahamas,1985,15-24 years,0,47200,11393,0.0
1181,N. america,Bahamas,1985,25-34 years,0,38600,11393,0.0
1182,N. america,Bahamas,1985,35-54 years,1,43500,11393,2.3
1183,N. america,Bahamas,1985,5-14 years,0,49600,11393,0.0
1184,N. america,Bahamas,1985,55-74 years,0,20600,11393,0.0
1185,N. america,Bahamas,1985,75+ years,0,4200,11393,0.0
1186,N. america,Bahamas,1987,15-24 years,0,51300,12286,0.0
1187,N. america,Bahamas,1987,25-34 years,1,42000,12286,2.38
1188,N. america,Bahamas,1987,35-54 years,2,46900,12286,4.26
1189,N. america,Bahamas,1987,5-14 years,0,53900,12286,0.0
1190,N. america,Bahamas,1987,55-74 years,0,22300,12286,0.0
1191,N. america,Bahamas,1987,75+ years,0,4500,12286,0.0
1192,N. america,Bahamas,1993,15-24 years,1,53600,12698,1.87
1193,N. america,Bahamas,1993,25-34 years,2,51700,12698,3.87
1194,N. america,Bahamas,1993,35-54 years,2,56300,12698,3.55
1195,N. america,Bahamas,1993,5-14 years,0,55300,12698,0.0
1196,N. america,Bahamas,1993,55-74 years,2,21800,12698,9.17
1197,N. america,Bahamas,1993,75+ years,0,4800,12698,0.0
1198,N. america,Bahamas,1994,15-24 years,0,53800,13073,0.0
1199,N. america,Bahamas,1994,25-34 years,0,52800,13073,0.0
1200,N. america,Bahamas,1994,35-54 years,3,59100,13073,5.08
1201,N. america,Bahamas,1994,5-14 years,0,55900,13073,0.0
1202,N. america,Bahamas,1994,55-74 years,0,22600,13073,0.0
1203,N. america,Bahamas,1994,75+ years,0,5100,13073,0.0
1204,N. america,Bahamas,1995,15-24 years,0,53900,13473,0.0
1205,N. america,Bahamas,1995,25-34 years,1,53400,13473,1.87
1206,N. america,Bahamas,1995,35-54 years,1,62100,13473,1.61
1207,N. america,Bahamas,1995,5-14 years,0,56300,13473,0.0
1208,N. america,Bahamas,1995,55-74 years,0,23400,13473,0.0
1209,N. america,Bahamas,1995,75+ years,0,5400,13473,0.0
1210,N. america,Bahamas,1996,15-24 years,0,51797,14297,0.0
1211,N. america,Bahamas,1996,25-34 years,0,50218,14297,0.0
1212,N. america,Bahamas,1996,35-54 years,3,63343,14297,4.74
1213,N. america,Bahamas,1996,5-14 years,0,57206,14297,0.0
1214,N. america,Bahamas,1996,55-74 years,0,25199,14297,0.0
1215,N. america,Bahamas,1996,75+ years,0,4675,14297,0.0
1216,N. america,Bahamas,1997,15-24 years,0,51420,24740,0.0
1217,N. america,Bahamas,1997,25-34 years,1,50193,24740,1.99
1218,N. america,Bahamas,1997,35-54 years,1,66199,24740,1.51
1219,N. america,Bahamas,1997,5-14 years,0,57318,24740,0.0
1220,N. america,Bahamas,1997,55-74 years,0,25925,24740,0.0
1221,N. america,Bahamas,1997,75+ years,0,4901,24740,0.0
1222,N. america,Bahamas,1998,15-24 years,0,51202,26269,0.0
1223,N. america,Bahamas,1998,25-34 years,2,50098,26269,3.99
1224,N. america,Bahamas,1998,35-54 years,1,69310,26269,1.44
1225,N. america,Bahamas,1998,5-14 years,0,57708,26269,0.0
1226,N. america,Bahamas,1998,55-74 years,0,26681,26269,0.0
1227,N. america,Bahamas,1998,75+ years,0,5126,26269,0.0
1228,N. america,Bahamas,1999,15-24 years,1,51161,29019,1.95
1229,N. america,Bahamas,1999,25-34 years,4,49925,29019,8.01
1230,N. america,Bahamas,1999,35-54 years,1,72450,29019,1.38
1231,N. america,Bahamas,1999,5-14 years,0,58375,29019,0.0
1232,N. america,Bahamas,1999,55-74 years,0,27509,29019,0.0
1233,N. america,Bahamas,1999,75+ years,0,5371,29019,0.0
1234,N. america,Bahamas,2000,15-24 years,1,51380,29942,1.95
1235,N. america,Bahamas,2000,25-34 years,4,49652,29942,8.06
1236,N. america,Bahamas,2000,35-54 years,5,75480,29942,6.62
1237,N. america,Bahamas,2000,5-14 years,0,59155,29942,0.0
1238,N. america,Bahamas,2000,55-74 years,1,28440,29942,3.52
1239,N. america,Bahamas,2000,75+ years,0,5631,29942,0.0
1240,N. america,Bahamas,2001,15-24 years,0,52926,30122,0.0
1241,N. america,Bahamas,2001,25-34 years,0,49962,30122,0.0
1242,N. america,Bahamas,2001,35-54 years,1,78138,30122,1.28
1243,N. america,Bahamas,2001,5-14 years,0,59360,30122,0.0
1244,N. america,Bahamas,2001,55-74 years,0,29842,30122,0.0
1245,N. america,Bahamas,2001,75+ years,0,5912,30122,0.0
1246,N. america,Bahamas,2002,15-24 years,2,54413,31432,3.68
1247,N. america,Bahamas,2002,25-34 years,0,50442,31432,0.0
1248,N. america,Bahamas,2002,35-54 years,1,80801,31432,1.24
1249,N. america,Bahamas,2002,5-14 years,0,59245,31432,0.0
1250,N. america,Bahamas,2002,55-74 years,0,31447,31432,0.0
1251,N. america,Bahamas,2002,75+ years,0,6207,31432,0.0
1252,N. america,Bahamas,2003,15-24 years,0,55685,30704,0.0
1253,N. america,Bahamas,2003,25-34 years,0,51141,30704,0.0
1254,N. america,Bahamas,2003,35-54 years,1,83624,30704,1.2
1255,N. america,Bahamas,2003,5-14 years,0,58683,30704,0.0
1256,N. america,Bahamas,2003,55-74 years,0,33245,30704,0.0
1257,N. america,Bahamas,2003,75+ years,0,6510,30704,0.0
1258,N. america,Bahamas,2004,15-24 years,1,56694,30671,1.76
1259,N. america,Bahamas,2004,25-34 years,0,52100,30671,0.0
1260,N. america,Bahamas,2004,35-54 years,1,86610,30671,1.15
1261,N. america,Bahamas,2004,5-14 years,0,57770,30671,0.0
1262,N. america,Bahamas,2004,55-74 years,0,35225,30671,0.0
1263,N. america,Bahamas,2004,75+ years,0,6838,30671,0.0
1264,N. america,Bahamas,2005,15-24 years,0,57519,32596,0.0
1265,N. america,Bahamas,2005,25-34 years,2,53283,32596,3.75
1266,N. america,Bahamas,2005,35-54 years,1,89555,32596,1.12
1267,N. america,Bahamas,2005,5-14 years,1,56808,32596,1.76
1268,N. america,Bahamas,2005,55-74 years,0,37392,32596,0.0
1269,N. america,Bahamas,2005,75+ years,0,7206,32596,0.0
1270,N. america,Bahamas,2006,15-24 years,1,58892,32957,1.7
1271,N. america,Bahamas,2006,25-34 years,0,53885,32957,0.0
1272,N. america,Bahamas,2006,35-54 years,1,92169,32957,1.08
1273,N. america,Bahamas,2006,5-14 years,0,57168,32957,0.0
1274,N. america,Bahamas,2006,55-74 years,0,38824,32957,0.0
1275,N. america,Bahamas,2006,75+ years,0,7561,32957,0.0
1276,N. america,Bahamas,2007,15-24 years,1,60283,33710,1.66
1277,N. america,Bahamas,2007,25-34 years,1,54466,33710,1.84
1278,N. america,Bahamas,2007,35-54 years,3,94766,33710,3.17
1279,N. america,Bahamas,2007,5-14 years,0,57178,33710,0.0
1280,N. america,Bahamas,2007,55-74 years,0,40396,33710,0.0
1281,N. america,Bahamas,2007,75+ years,0,7900,33710,0.0
